fft_initialise,enter
fft_initialise,memalign,boundary=0x20,size=0x80000,data_ptr=0x7fffe4c10040,caller=fft_initialise
fft_initialise,memalign,boundary=0x20,size=0x80000,data_ptr=0x7fffe4b82040,caller=fft_initialise
fft_initialise,memalign,boundary=0x20,size=0x20,data_ptr=0x76c040,caller=fftwf_malloc_plain
fft_initialise,memalign,boundary=0x20,size=0x20,data_ptr=0x76c0c0,caller=fftwf_malloc_plain
fft_initialise,memalign,boundary=0x20,size=0x38,data_ptr=0x76c140,caller=fftwf_malloc_plain
fft_initialise,memalign,boundary=0x20,size=0x38,data_ptr=0x76c1a0,caller=fftwf_malloc_plain
fft_initialise,memalign,boundary=0x20,size=0x38,data_ptr=0x76c260,caller=fftwf_malloc_plain
fft_initialise,memalign,boundary=0x20,size=0x20,data_ptr=0x76c2c0,caller=fftwf_malloc_plain
fft_initialise,memalign,boundary=0x20,size=0x20,data_ptr=0x76c340,caller=fftwf_malloc_plain
fft_initialise,free,data_ptr=0x76c140,size=0x38,caller=fftwf_tensor_inplace_locations
fft_initialise,free,data_ptr=0x76c1a0,size=0x38,caller=fftwf_tensor_destroy4
fft_initialise,free,data_ptr=0x76c260,size=0x38,caller=fftwf_tensor_destroy4
fft_initialise,free,data_ptr=0x76c2c0,size=0x20,caller=fftwf_tensor_destroy4
fft_initialise,free,data_ptr=0x76c340,size=0x20,caller=fftwf_tensor_inplace_locations
fft_initialise,memalign,boundary=0x20,size=0x38,data_ptr=0x76c3c0,caller=fftwf_malloc_plain
fft_initialise,memalign,boundary=0x20,size=0x20,data_ptr=0x76c480,caller=fftwf_malloc_plain
fft_initialise,memalign,boundary=0x20,size=0x20,data_ptr=0x76c500,caller=fftwf_malloc_plain
fft_initialise,free,data_ptr=0x76c040,size=0x20,caller=fftwf_tensor_destroy2
fft_initialise,free,data_ptr=0x76c0c0,size=0x20,caller=fftwf_mkproblem_dft_d
fft_initialise,memalign,boundary=0x20,size=0x120,data_ptr=0x76c580,caller=fftwf_malloc_plain
fft_initialise,memalign,boundary=0x20,size=0x30,data_ptr=0x76c700,caller=fftwf_malloc_plain
fft_initialise,memalign,boundary=0x20,size=0x30,data_ptr=0x76c760,caller=fftwf_malloc_plain
fft_initialise,memalign,boundary=0x20,size=0x18,data_ptr=0x76c820,caller=fftwf_malloc_plain
fft_initialise,memalign,boundary=0x20,size=0x20,data_ptr=0x76c860,caller=fftwf_malloc_plain
fft_initialise,memalign,boundary=0x20,size=0x18,data_ptr=0x76c8e0,caller=fftwf_malloc_plain
